pad,x,y,scale,direction,cobo,asad,aget,channel,cy,cx
1928,112.88941,53.133205,0.5,1,5,3,3,55,-112.88941,-53.841647699623984
1929,112.88941,57.383862,0.5,0,5,3,3,66,-112.88941,-56.675419300376014
1930,115.34353,53.133205,0.5,0,5,3,3,60,-115.34353,-52.42476230037601
1931,115.34353,57.383862,0.5,1,5,3,2,2,-115.34353,-58.09230469962399
1932,117.79765,57.383862,0.5,0,5,3,2,8,-117.79765,-56.675419300376014
1933,117.79765,53.133205,0.5,1,5,3,2,0,-117.79765,-53.841647699623984
1934,120.25176,57.383862,0.5,1,5,3,2,10,-120.25176,-58.09230469962399
1935,120.25176,53.133205,0.5,0,5,3,2,17,-120.25176,-52.42476230037601
1936,122.70588,53.133205,0.5,1,0,2,0,7,-122.70588,-53.841647699623984
1937,122.70588,57.383862,0.5,0,5,3,2,15,-122.70588,-56.675419300376014
1938,125.16,53.133205,0.5,0,0,2,0,14,-125.16,-52.42476230037601
1939,127.61411,55.258533,1.0,1,0,2,0,25,-127.61411,-56.675418399247974
1940,132.52235,55.258533,1.0,0,0,2,0,39,-132.52235,-53.841647600752026
1941,137.43059,55.258533,1.0,1,0,2,0,54,-137.43059,-56.675418399247974
1942,142.33882,55.258533,1.0,0,0,2,0,65,-142.33882,-53.841647600752026
1943,147.24706,55.258533,1.0,1,5,3,2,30,-147.24706,-56.675418399247974
1944,152.15529,55.258533,1.0,0,5,3,2,36,-152.15529,-53.841647600752026
1945,157.06352,55.258533,1.0,1,5,3,2,40,-157.06352,-56.675418399247974
1946,161.97176,55.258533,1.0,0,5,3,2,47,-161.97176,-53.841647600752026
1947,166.87999,55.258533,1.0,1,5,3,2,63,-166.87999,-56.675418399247974
1948,171.78822,55.258533,1.0,0,5,3,2,64,-171.78822,-53.841647600752026
1949,176.69647,55.258533,1.0,1,6,1,2,54,-176.69647,-56.675418399247974
1950,181.60471,55.258533,1.0,0,6,1,2,63,-181.60471,-53.841647600752026
1951,186.51294,55.258533,1.0,1,6,1,1,5,-186.51294,-56.675418399247974
1952,191.42117,55.258533,1.0,0,6,0,1,34,-191.42117,-53.841647600752026
1953,196.32941,55.258533,1.0,1,6,0,1,19,-196.32941,-56.675418399247974
1954,201.23764,55.258533,1.0,0,6,0,0,32,-201.23764,-53.841647600752026
1955,206.14587,55.258533,1.0,1,6,0,0,42,-206.14587,-56.675418399247974
1956,211.05411,55.258533,1.0,0,6,0,0,55,-211.05411,-53.841647600752026
1957,215.96234,55.258533,1.0,1,6,0,0,62,-215.96234,-56.675418399247974
1958,220.87057,55.258533,1.0,0,6,0,1,17,-220.87057,-53.841647600752026
1959,225.77882,55.258533,1.0,1,6,0,1,20,-225.77882,-56.675418399247974
1960,230.68706,55.258533,1.0,0,6,0,1,35,-230.68706,-53.841647600752026
1961,235.59529,55.258533,1.0,1,6,0,1,50,-235.59529,-56.675418399247974
1962,240.50352,55.258533,1.0,0,6,0,1,63,-240.50352,-53.841647600752026
1963,245.41176,55.258533,1.0,1,6,0,0,7,-245.41176,-56.675418399247974
1964,250.31999,55.258533,1.0,0,6,0,0,18,-250.31999,-53.841647600752026
1965,255.22823,55.258533,1.0,1,6,0,0,31,-255.22823,-56.675418399247974
1966,260.13647,55.258533,1.0,0,6,0,0,46,-260.13647,-53.841647600752026
1967,265.04471,55.258533,1.0,1,6,0,0,61,-265.04471,-56.675418399247974
1968,-265.04471,63.759846,1.0,0,8,3,0,64,265.04471,-62.34296060075203
1969,-260.13647,63.759846,1.0,1,8,3,0,49,260.13647,-65.17673139924797
1970,-255.22823,63.759846,1.0,0,8,3,0,34,255.22823,-62.34296060075203
1971,-250.31999,63.759846,1.0,1,8,3,0,21,250.31999,-65.17673139924797
1972,-245.41176,63.759846,1.0,0,8,3,0,10,245.41176,-62.34296060075203
1973,-240.50352,63.759846,1.0,1,8,3,1,66,240.50352,-65.17673139924797
1974,-235.59529,63.759846,1.0,0,8,3,1,53,235.59529,-62.34296060075203
1975,-230.68706,63.759846,1.0,1,8,3,1,38,230.68706,-65.17673139924797
1976,-225.77882,63.759846,1.0,0,8,3,1,24,225.77882,-62.34296060075203
1977,-220.87057,63.759846,1.0,1,8,3,1,17,220.87057,-65.17673139924797
1978,-215.96234,63.759846,1.0,0,8,3,0,63,215.96234,-62.34296060075203
1979,-211.05411,63.759846,1.0,1,8,3,0,59,211.05411,-65.17673139924797
1980,-206.14587,63.759846,1.0,0,8,3,0,57,206.14587,-62.34296060075203
1981,-201.23764,63.759846,1.0,1,8,3,0,48,201.23764,-65.17673139924797
1982,-196.32941,63.759846,1.0,0,9,0,1,18,196.32941,-62.34296060075203
1983,-191.42117,63.759846,1.0,1,9,0,0,2,191.42117,-65.17673139924797
1984,-186.51294,63.759846,1.0,0,9,0,1,55,186.51294,-62.34296060075203
1985,-181.60471,63.759846,1.0,1,9,0,1,7,181.60471,-65.17673139924797
1986,-176.69647,63.759846,1.0,0,9,0,1,3,176.69647,-62.34296060075203
1987,-171.78822,63.759846,1.0,1,9,0,2,65,171.78822,-65.17673139924797
1988,-166.87999,63.759846,1.0,0,9,0,2,59,166.87999,-62.34296060075203
1989,-161.97176,63.759846,1.0,1,9,0,2,50,161.97176,-65.17673139924797
